Place →	Labial	Labial	Labial	Labial	Labial	Coronal	Coronal	Coronal	Coronal	Coronal	Coronal	Coronal	Coronal	Coronal	Coronal	Dorsal	Dorsal	Dorsal	Dorsal	Dorsal	Laryngeal	Laryngeal	Laryngeal	LaryngealLaryngealLaryngeal
Manner ↓	Bi­labial	Bi­labial	Labio­dental	Labio­dental	Linguo­labial	Linguo­labial	Dental	Dental	Alveolar	Alveolar	Post­alveolar	Post­alveolar	Retro­flex	Retro­flex	Palatal	Palatal	Velar	Velar	Uvular	Uvular	Pharyn­geal/epi­glottal	Pharyn­geal/epi­glottal	Glottal	Glottal
Nasal	m̥	m		ɱ		n̼			n̥	n			ɳ̊	ɳ	ɲ̊	ɲ	ŋ̊	ŋ		ɴ				
Stop	p	b	p̪	b̪	t̼	d̼			t	d			ʈ	ɖ	c	ɟ	k	ɡ	q	ɢ	ʡ		ʔ	
Sibilant affricate									ts	dz	t̠ʃ	d̠ʒ	ʈʂ	ɖʐ	tɕ	dʑ								
Non-sibilant affricate	pɸ	bβ	p̪f	b̪v			t̪θ	d̪ð	tɹ̝̊	dɹ̝	t̠ɹ̠̊˔	d̠ɹ̠˔			cç	ɟʝ	kx	ɡɣ	qχ	ɢʁ		ʡʢ	ʔh	
Sibilant fricative									s	z	ʃ	ʒ	ʂ	ʐ	ɕ	ʑ								
Non-sibilant fricative	ɸ	β	f	v	θ̼	ð̼	θ	ð	θ̠	ð̠	ɹ̠̊˔	ɹ̠˔		ɻ˔	ç	ʝ	x	ɣ	χ	ʁ	ħ	ʕ	h	ɦ
Approximant			ʋ̥	ʋ					ɹ̥	ɹ			ɻ̊	ɻ	j̊	j	ɰ̊	ɰ						ʔ̞
Tap/flap		ⱱ̟		ⱱ		ɾ̼			ɾ̥	ɾ			ɽ̊	ɽ						ɢ̆		ʡ̆		
Trill	ʙ̥	ʙ							r̥	r			ɽ̊r̥	ɽr					ʀ̥	ʀ	ʜ	ʢ		
Lateral affricate									tɬ	dɮ			ʈɭ̊˔		cʎ̝̊		kʟ̝̊	ɡʟ̝						
Lateral fricative									ɬ	ɮ			ɭ̊˔	ɭ˔	ʎ̝̊	ʎ̝	ʟ̝̊	ʟ̝						
Lateral approximant									l̥	l			ɭ̊	ɭ	ʎ̥	ʎ	ʟ̥	ʟ		ʟ̠				
Lateral tap/flap										ɺ				ɭ̆		ʎ̆		ʟ̆						















